t,daily_cases_obs,ward_obs,icu_obs,daily_deaths_obs,NT,P_0_49,P_50_59,P_60_69,P_70p
152,204.0,340.0,41.0,8.0,9272.0,0.6534653465346535,0.12871287128712872,0.08415841584158415,0.13366336633663367
153,238.0,335.0,40.0,2.0,9303.0,0.6218487394957983,0.1134453781512605,0.09663865546218488,0.16806722689075632
154,153.0,337.0,41.0,1.0,9371.0,0.6993464052287581,0.12418300653594772,0.05228758169934641,0.12418300653594772
155,106.0,348.0,42.0,0.0,9467.0,0.6509433962264151,0.11320754716981132,0.09433962264150944,0.14150943396226415
156,112.0,357.0,44.0,1.0,9499.0,0.6363636363636364,0.07272727272727272,0.15454545454545454,0.13636363636363638
157,167.0,343.0,41.0,1.0,9543.0,0.6107784431137725,0.16766467065868262,0.11976047904191617,0.10179640718562874
158,213.0,327.0,42.0,3.0,9527.0,0.6056338028169014,0.14553990610328638,0.07981220657276995,0.16901408450704225
159,290.0,320.0,36.0,3.0,9481.0,0.5655172413793104,0.1206896551724138,0.07586206896551724,0.23793103448275862
160,186.0,324.0,33.0,4.0,9349.0,0.6827956989247311,0.10215053763440861,0.12903225806451613,0.08602150537634409
161,131.0,333.0,33.0,6.0,9471.0,0.6183206106870229,0.17557251908396945,0.0916030534351145,0.11450381679389313
162,157.0,345.0,29.0,3.0,9350.0,0.6942675159235668,0.15286624203821655,0.08280254777070063,0.07006369426751592
163,120.0,330.0,35.0,2.0,9333.0,0.6722689075630253,0.08403361344537816,0.06722689075630253,0.17647058823529413
164,278.0,327.0,40.0,3.0,9253.0,0.6298932384341637,0.11743772241992882,0.08896797153024912,0.16370106761565836
165,325.0,319.0,39.0,6.0,9274.0,0.5446153846153846,0.1476923076923077,0.09230769230769231,0.2153846153846154
166,235.0,307.0,41.0,2.0,9407.0,0.7923728813559322,0.08898305084745763,0.06779661016949153,0.05084745762711865
167,198.0,283.0,37.0,3.0,9390.0,0.7309644670050761,0.12182741116751268,0.07106598984771574,0.07614213197969544
168,121.0,286.0,39.0,3.0,9355.0,0.6033057851239669,0.15702479338842976,0.11570247933884298,0.12396694214876033
169,132.0,297.0,39.0,1.0,9480.0,0.6136363636363636,0.12121212121212122,0.11363636363636363,0.15151515151515152
170,214.0,298.0,38.0,5.0,9619.0,0.5233644859813084,0.16355140186915887,0.08411214953271028,0.22897196261682243
171,253.0,294.0,35.0,2.0,9666.0,0.6561264822134387,0.11857707509881422,0.08695652173913043,0.1383399209486166
172,291.0,295.0,39.0,2.0,9623.0,0.6288659793814433,0.12371134020618557,0.140893470790378,0.10652920962199312
173,219.0,280.0,41.0,4.0,9478.0,0.6712328767123288,0.1050228310502283,0.0958904109589041,0.1278538812785388
174,241.0,274.0,42.0,2.0,9564.0,0.6208333333333333,0.1375,0.10416666666666667,0.1375
175,145.0,270.0,47.0,2.0,9603.0,0.7379310344827587,0.12413793103448276,0.06206896551724138,0.07586206896551724
176,123.0,277.0,44.0,5.0,9557.0,0.6504065040650406,0.08943089430894309,0.08943089430894309,0.17073170731707318
177,192.0,284.0,41.0,4.0,9498.0,0.6354166666666666,0.09375,0.13020833333333334,0.140625
178,362.0,273.0,38.0,2.0,9454.0,0.5706371191135734,0.12742382271468145,0.11357340720221606,0.1883656509695291
179,397.0,282.0,35.0,2.0,9517.0,0.6591478696741855,0.11779448621553884,0.09273182957393483,0.13032581453634084
180,403.0,296.0,38.0,6.0,9695.0,0.6733167082294264,0.1645885286783042,0.08478802992518701,0.07730673316708228
181,374.0,284.0,40.0,3.0,9748.0,0.7192513368983957,0.12032085561497326,0.0855614973262032,0.0748663101604278
182,320.0,300.0,41.0,1.0,9733.0,0.6234177215189873,0.12658227848101267,0.06962025316455697,0.18037974683544306
183,244.0,308.0,41.0,3.0,9905.0,0.47950819672131145,0.1557377049180328,0.14344262295081966,0.22131147540983606
184,231.0,306.0,44.0,2.0,10003.0,0.6536796536796536,0.12987012987012986,0.09956709956709957,0.11688311688311688
185,390.0,296.0,41.0,3.0,10174.0,0.6410256410256411,0.1358974358974359,0.10256410256410256,0.12051282051282051
186,418.0,290.0,44.0,2.0,10385.0,0.6124401913875598,0.12200956937799043,0.12440191387559808,0.14114832535885166
187,406.0,299.0,40.0,4.0,10464.0,0.5960591133004927,0.15024630541871922,0.08620689655172414,0.16748768472906403
188,486.0,304.0,41.0,5.0,10646.0,0.6522633744855967,0.11522633744855967,0.10493827160493827,0.12757201646090535
189,315.0,311.0,43.0,2.0,10765.0,0.5714285714285714,0.12380952380952381,0.08888888888888889,0.21587301587301588
190,249.0,332.0,49.0,3.0,10767.0,0.6157205240174672,0.12227074235807861,0.12663755458515283,0.13537117903930132
191,388.0,344.0,50.0,3.0,10977.0,0.5736434108527131,0.14728682170542634,0.13695090439276483,0.1421188630490956
192,646.0,339.0,52.0,3.0,11326.0,0.6501547987616099,0.13312693498452013,0.09907120743034056,0.11764705882352941
193,585.0,349.0,57.0,3.0,11599.0,0.6389380530973452,0.1504424778761062,0.11681415929203541,0.09380530973451327
194,687.0,350.0,54.0,3.0,12067.0,0.6239067055393587,0.14577259475218662,0.1078717201166181,0.12244897959183676
195,497.0,379.0,59.0,5.0,12320.0,0.6539235412474849,0.1448692152917505,0.09859154929577464,0.10261569416498995
196,673.0,395.0,57.0,7.0,12573.0,0.6706408345752608,0.09388971684053651,0.05961251862891208,0.1758569299552906
197,613.0,416.0,61.0,4.0,12934.0,0.634584013050571,0.16639477977161501,0.09787928221859707,0.10114192495921696
198,425.0,419.0,59.0,4.0,13188.0,0.5952941176470589,0.11058823529411765,0.11529411764705882,0.17882352941176471
